,user,text
75,jimmyfallon,"The Tonight Show: At Home Edition (@rickygervais, @theebillyporter, and music from @thelumineers)… https://t.co/86yufBnhA4"
76,jimmyfallon,Well hey that’s a cool thing for us!! Thanks @TheWebbyAwards!!! https://t.co/eWdE890brI
77,jimmyfallon,The Tonight Show: At Home Edition (Kate Hudson and @alessiacara) https://t.co/sDAYbXsp1a https://t.co/0L8K2xuGvy
78,jimmyfallon,Big Little Lysol #QuarantineABook
79,jimmyfallon,"It's time for Tonight Show: At Home Edition Hashtags! Change the title of a book to make it fit with quarantining,… https://t.co/6PhU1G5XQY"
80,jimmyfallon,Mine is Car Wash. first version. https://t.co/lQ8plxGybP
81,jimmyfallon,I had to. Thanks @MarkRonson and @gerardbradford!!! Is Justin Stanley on Twitter? We made it boys!!!… https://t.co/1rFRB1WtS8
82,jimmyfallon,Listen right now for free thru 5/15: https://t.co/q83i64OrSV https://t.co/eRLM0zDSUI
83,jimmyfallon,"The Tonight Show: At Home Edition (@jonasbrothers, @LesterHoltNBC, @charlidamelio, and music from @CHVRCHES)… https://t.co/44NSsEIWfU"
84,jimmyfallon,Got a pet? Then #PetDuet. @charlidamelio and I - @tiktok_us #FallonAtHome #DistanceDance
85,jimmyfallon,Did you know @SIRIUSXM is free until May 15th? Did you know that I’m hosting the @SiriusXMHits1 Weekend Countdown t… https://t.co/vXyc92igY6
86,jimmyfallon,"The Tonight Show: At Home Edition (@AROD, @rhettmc &amp; @LinkNeal, and music from @tonesandimusic)… https://t.co/8Vv06c37Oi"
87,jimmyfallon,We are playing quarantined HOT ONES tonight with @AROD and @seanseaevans!! Why why WHY do I keep doing this to myse… https://t.co/l0EPss84Ze
0,shakira,@isamebarak Y yo a ti!!!😘
1,shakira,"Congratulations to my cousin @IsaMebarak for her new album which is so full of our heritage! 
https://t.co/wpHWY6NtPu"
2,shakira,"Felicidades a mi prima hermana @isamebarak por su nuevo álbum que contiene tanto de nuestra herencia!
 https://t.co/85kjFqYE8f"
3,shakira,"I’ve read your tweets bosses! 
I’m on it! 😘 https://t.co/OVqQ05OGoe"
4,shakira,Just heard that the Waka video has reached 2.5 BILLION views. Incredible. You guys really are amazing. Thank you!… https://t.co/C7yFMWySNx
5,shakira,🤟🤟🤟 https://t.co/ckFv3rdzWw
6,shakira,So much fun to be back on @NBCTheVoice yesterday! #TheVoice https://t.co/gxpxSSubPC
7,shakira,Who’s excited about Shak’s special guest appearance on tonight’s @NBCTheVoice Finale?! ShakHQ #TheVoice https://t.co/2KuF6PGQTe
8,shakira,Felicidades de nuestro equipo @fpiesdescalzos en este #DíaDelMaestro por su inconmensurable esfuerzo!! https://t.co/3gaGyunFHc
9,shakira,"Los maestros son los pilares de la sociedad. 
Con su dedicación construyen cada día un mundo con igualdad de oportu… https://t.co/0jApnWNLni"
10,shakira,Mustered up the strength to put on some makeup for my day job of homeschool teacher #smallvictories https://t.co/nLqTyy8rIM
11,shakira,Check out Shak's performance of Try Everything from Zootopia on last night's #DisneyFamilySingalong on @ABCNetwork!… https://t.co/g1QprwJP4J
12,shakira,https://t.co/wVb9HS2zOl https://t.co/zY1eyOeVRH
13,shakira,Check out the @Disney Family Singalong today on @ABCNetwork (⏰7|6c) where I’ll be performing with my friend Gazelle… https://t.co/EK46EmwxWN
14,shakira,todo nuestro amor y agradecimiento por todo lo que han hecho y continúan haciendo por nosotros!
15,shakira,Happy Mother's Day! En este día de la Madre valoramos más que nunca el valor de un abrazo. A todas las madres que c… https://t.co/nzR8NVjdK3
16,shakira,"En el #throwbackthursday de hoy recordamos esta foto de Shak con el co-protagonista de Zootopia, Nick Wilde! No se… https://t.co/WqSti49hlP"
17,shakira,"#TBT Shak with her Zootopia co-star Nick Wilde! Remember, try everything to tune into @ABCNetwork on Sunday night t… https://t.co/OC8gASy3Mg"
18,shakira,"Multi-tasking, meeting with the CEO of @SonyMusicLatin while dedicating time to personal grooming. 
Haciendo múltip… https://t.co/qENzfqHZK2"
19,shakira,Gazelle is back! #DisneyFamilySingalong. ShakHQ https://t.co/83iRmf9HsC
20,shakira,"@jaimepumarejo Gracias a ustedes y al equipo de Alcaldía por su trabajo, a las manos Barranquilleras que me enorgul… https://t.co/7XCMz3Or0D"
21,shakira,"Gracias al equipo de Alcaldía por ayudarnos a coordinar este esfuerzo, espero que mas sigamos sumando recursos  par… https://t.co/pUyuF9G9YR"
22,shakira,Qué gran talento y carisma!!! ❤️ Me he vuelto una Corituber!!! @juegaterapia https://t.co/pr3hBCmAbu
23,shakira,"These videos are incredible and I’m so honored this song of mine that now is yours, can be so uplifting in a such d… https://t.co/12etKblNOk"
24,shakira,Acabo de graduarme de un curso de filosofía antigua. Ya sé que mis hobbies no son prácticos pero me tomó horas desp… https://t.co/MSG9rxzbjY
